household lat long Strain wt90 wt120 wt150 wt180 country
EAM2370 12.3747183333333 37.5609733333333 S-RIR  486.527777777778 751.290322580645 1247.14285714286 1485.71428571429 Ethiopia
EAM2371 12.376695 37.5649 S-RIR  428.142857142857 570.322580645161 914.285714285714 1400 Ethiopia
EAM2372 12.37354 37.541135 S-RIR  463 780.17316017316 1419.04761904762 1904.14746543779 Ethiopia
EAM2373 12.38027 37.574885 S-RIR  453.333333333333 533.333333333333 516 600 Ethiopia
EAM2374 12.3773383333333 37.5662366666667 S-RIR  467.179487179487 723.703703703704 1073.16017316017 1253.01724137931 Ethiopia
EAM2375 12.3800116666667 37.5734883333333 S-RIR  453.148148148148 766.111111111111 1177.77777777778 1072.41379310345 Ethiopia
EAM2376 12.3862683333333 37.559225 S-RIR  335.806451612903 645.483870967742 971.768707482993 1900 Ethiopia
EAM2385 12.3804966666667 37.5742033333333 Sasso 1113.80471380471 1497.6430976431 1396.2962962963 1930.35714285714 Ethiopia
EAM2386 12.3650916666667 37.569705 Sasso 1575.86206896552 1748.27586206897 1638.46153846154 2135.71428571429 Ethiopia
EAM2387 12.3667416666667 37.5719133333333 Sasso 887.550380653829 1267.75638154949 1176.22377622378 1995.77922077922 Ethiopia
EAM2388 12.3774933333333 37.5695316666667 Sasso 1251.17845117845 1210.77441077441 1296.2962962963 1793.01948051948 Ethiopia
EAM2389 12.37744 37.5478916666667 Sasso 1082.77777777778 1188.33333333333 1220 1916.42857142857 Ethiopia
EAM2390 12.3779266666667 37.5641733333333 Sasso 1066.66666666667 1400 1540.38461538462 2041.07142857143 Ethiopia
EAM2391 12.3670066666667 37.5719716666667 Sasso 1357.14285714286 1785.71428571429 1981.48148148148 2267.85714285714 Ethiopia
EAM2392 12.3663 37.5720183333333 Sasso 1400 1400 1400 1935.71428571429 Ethiopia
EAM2393 12.36126 37.5661433333333 Koekoek 533.333333333333 862.5 1092.85714285714 1561.60714285714 Ethiopia
EAM2394 12.361355 37.563915 Koekoek 610.769230769231 919.897959183673 1086.73469387755 1468.53741496599 Ethiopia
EAM2395 12.36116 37.5662833333333 Koekoek 542.857142857143 986.734693877551 1228.57142857143 1621.42857142857 Ethiopia
EAM2396 12.3613166666667 37.5647616666667 Koekoek 699.450549450549 1107.57456828885 1203.2967032967 1626.37362637363 Ethiopia
