household,lat,long,Strain,wt90,wt120,wt150,wt180,sex,country
EAA2145,8.94104833333333,38.73066,Horro,382.716049382716,290.123456790123,993.75,1533.33333333333,Female,Ethiopia
EAA2148,8.93733333333333,38.7217566666667,Horro,285.140186915888,666.666666666667,1000,1000,Male,Ethiopia
EAA2148,8.93733333333333,38.7217566666667,Horro,266.483516483516,678.571428571429,917.857142857143,1000,Female,Ethiopia
EAA2150,8.94130166666667,38.7330766666667,Koekoek,1876.62337662338,1545.45454545455,1647.52066115702,1749.5867768595,Female,Ethiopia
EAA2152,8.94224166666667,38.7303266666667,Koekoek,547.619047619048,717.391304347826,970.822281167109,1388.59416445623,Female,Ethiopia
EAA2160,8.94153166666667,38.7297166666667,S-RIR ,946.666666666667,941.666666666667,1658.62068965517,2000,Female,Ethiopia
EAA2160,8.94153166666667,38.7297166666667,S-RIR ,920,1072.91666666667,1728.44827586207,2633.62068965517,Male,Ethiopia
EAA2161,8.93926833333333,38.7173983333333,Kuroiler,422.962962962963,-681.054726368159,332.07960199005,1345.21393034826,Female,Ethiopia
EAA2162,8.94333333333333,38.7138766666667,Kuroiler,335.153374233129,-523.388888888889,248.277777777778,1019.94444444444,Female,Ethiopia
EAA2163,8.93562833333333,38.7161166666667,Kuroiler,358.333333333333,-1695.72,-40.92,1613.88,Female,Ethiopia
EAA2164,8.94288333333333,38.7138733333333,Kuroiler,348.667835232252,-1589.78174603175,-57.0436507936508,1475.69444444444,Female,Ethiopia
EAA2165,8.94613833333333,38.7131933333333,Koekoek,450.888888888889,1001.52380952381,2719.32773109244,2682.83410138249,Female,Ethiopia
EAA2165,8.94613833333333,38.7131933333333,Koekoek,535.555555555556,987.936507936508,2060.9756097561,2674.1935483871,Male,Ethiopia
EAA2166,8.93608666666667,38.7164333333333,S-RIR ,5062.85714285714,988.25,1781.14478114478,2589.22558922559,Male,Ethiopia
EAA2166,8.93608666666667,38.7164333333333,S-RIR ,393.061224489796,986.97619047619,1690.47619047619,2404.76190476191,Female,Ethiopia
EAA2167,8.93566666666667,38.71821,S-RIR ,358.775510204082,990.958333333333,2649.20634920635,2333.33333333333,Female,Ethiopia
EAA2167,8.93566666666667,38.71821,S-RIR ,374.880952380952,987.666666666667,1682.35294117647,2360,Male,Ethiopia
EAA2168,8.9407,38.71763,S-RIR ,484.714285714286,1009.4375,1579.41176470588,1395.55555555556,Male,Ethiopia
EAA2168,8.9407,38.71763,S-RIR ,482.386185243328,964.214285714286,1535.09803921569,2274.66666666667,Female,Ethiopia
EAA2169,8.93673333333333,38.717475,S-RIR ,403.406593406593,1002.45833333333,1551.44724556489,2277.77777777778,Female,Ethiopia
EAA2169,8.93673333333333,38.717475,S-RIR ,450.714285714286,1003.16666666667,1575.81699346405,2380.95238095238,Male,Ethiopia
EAA2170,8.93205833333333,38.714115,Horro,687.272727272727,469.312169312169,1233.33333333333,940.579710144928,Female,Ethiopia
EAA2170,8.93205833333333,38.714115,Horro,340,504.081632653061,506.162464985994,917.391304347826,Male,Ethiopia
EAA2171,8.93165333333333,38.7152083333333,Horro,521.212121212121,493.968253968254,1661.11111111111,934.782608695652,Female,Ethiopia
EAA2171,8.93165333333333,38.7152083333333,Horro,623.333333333333,492.857142857143,500,963.768115942029,Male,Ethiopia
EAA2172,8.935415,38.7164183333333,Koekoek,552.41935483871,531.746031746032,659.468438538206,784.274193548387,Female,Ethiopia
EAA2172,8.935415,38.7164183333333,Koekoek,557.874762808349,715.686274509804,733.584131326949,702.80437756498,Male,Ethiopia
EAA2173,8.93159,38.7149716666667,Horro,469.74025974026,508.008658008658,1482.22222222222,1415.55555555556,Female,Ethiopia
EAA2173,8.93159,38.7149716666667,Horro,360,490.47619047619,829.545454545455,1170.45454545455,Male,Ethiopia
EAA2174,8.94372166666667,38.7265166666667,Horro,396.5,490.833333333333,884.469696969697,1282.19696969697,Male,Ethiopia
EAA2174,8.94372166666667,38.7265166666667,Horro,274.666666666667,490.793650793651,839.531680440771,1190.77134986226,Female,Ethiopia
EAA2176,8.93074833333333,38.715575,Horro,532.258064516129,694.808743169399,969.398907103825,1334.67741935484,Female,Ethiopia
EAA2177,8.93247833333333,38.715045,Kuroiler,327.370727432077,-652.321428571429,199.464285714286,1051.25,Female,Ethiopia
EAA2178,8.935095,38.7162733333333,Koekoek,495.402298850575,616.091954022988,736.781609195402,779.569892473118,Female,Ethiopia
EAA2178,8.935095,38.7162733333333,Koekoek,478.448275862069,575.431034482759,672.413793103448,750,Male,Ethiopia
EAA2179,8.93607,38.7177266666667,Horro,536.050156739812,677.41935483871,766.666666666667,857.575757575758,Male,Ethiopia
EAA2179,8.93607,38.7177266666667,Horro,551.84331797235,623.271889400922,658.333333333333,1007.44047619048,Female,Ethiopia
EAA2180,8.93268166666667,38.7152716666667,Kuroiler,345.092024539877,-1607.86111111111,-67.0277777777777,1473.80555555556,Female,Ethiopia
EAA2182,8.93673333333333,38.7173383333333,Horro,526.881720430108,678.16091954023,764.367816091954,889.784946236559,Female,Ethiopia
EAA2182,8.93673333333333,38.7173383333333,Horro,532.258064516129,706.896551724138,758.620689655172,1000,Male,Ethiopia
